,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
0,0,0,0,0,0,0.0,1728,11146,8048015
1,8,11,1410,1,1,0.141,188,1201,8048015
2,22,30,336,1,1,0.012463832628533273,738,3181,8048015
3,0,0,0,0,0,0.0,240,665,8048015
4,0,0,0,0,0,0.0,284,764,8048015
5,0,0,0,0,0,0.0,5133,42486,8048015
6,0,0,0,0,0,0.0,119,1020,8048015
7,0,0,0,0,0,0.0,280,2016,8048015
8,0,0,0,0,0,0.0,533,3721,8048015
9,755,6728,7568,2,3,0.28016140376855586,2803,41500,8048015
10,0,0,0,0,0,0.0,325,2412,8048015
11,338,3298,1962,1,1,0.08172275908030656,3176,34225,8048015
12,35,128,717,1,1,0.04477052763034655,955,10373,8048015
13,0,0,0,0,0,0.0,1334,14944,8048015
14,0,0,0,0,0,0.0,219,602,8048015
15,0,0,0,0,0,0.0,139,1711,8048015
16,0,0,0,0,0,0.0,202,3386,8048015
17,0,0,0,0,0,0.0,46,2388,8048015
18,0,0,0,0,0,0.0,145,599,8048015
19,14,16,1068,1,1,0.0485300131776253,1409,4711,8048015
20,65,306,1050,1,2,0.13171098845960863,246,622,8048015
21,0,0,0,0,0,0.0,62,96,8048015
22,0,0,0,0,0,0.0,83,140,8048015
23,0,0,0,0,0,0.0,184,2106,8048015
24,0,0,0,0,0,0.0,202,3315,8048015
25,2500,25919,8856,3,10,0.11213817205662623,15942,204036,8048015
26,0,0,0,0,0,0.0,4254,59778,8048015
27,0,0,0,0,0,0.0,3878,54278,8048015
28,0,0,0,0,0,0.0,51,131,8048015
29,0,0,0,0,0,0.0,35,251,8048015
30,0,0,0,0,0,0.0,59,93,8048015
31,0,0,0,0,0,0.0,828,7985,8048015
32,0,0,0,0,0,0.0,241,3616,8048015
33,0,0,0,0,0,0.0,186,3749,8048015
34,0,0,0,0,0,0.0,100,1612,8048015
35,0,0,0,0,0,0.0,516,3404,8048015
36,0,0,0,0,0,0.0,244,5696,8048015
37,0,0,0,0,0,0.0,439,5099,8048015
38,0,0,0,0,0,0.0,130,172,8048015
39,0,0,0,0,0,0.0,75,4998,8048015
40,0,0,0,0,0,0.0,120,777,8048015
41,0,0,0,0,0,0.0,336,2319,8048015
42,0,0,0,0,0,0.0,152,625,8048015
43,0,0,0,0,0,0.0,51,925,8048015
44,0,0,0,0,0,0.0,173,7179,8048015
45,0,0,0,0,0,0.0,738,12528,8048015
46,192,3768,693,1,1,0.012502706213466119,5622,51736,8048015
47,0,0,0,0,0,0.0,116,322,8048015
48,0,0,0,0,0,0.0,129,5078,8048015
49,0,0,0,0,0,0.0,200,5529,8048015
50,0,0,1143,1,1,0.18048318332543817,183,970,8048015
51,0,0,0,0,0,0.0,6023,73980,8048015
52,0,0,0,0,0,0.0,71,133,8048015
53,0,0,0,0,0,0.0,66,1056,8048015
54,0,0,0,0,0,0.0,235,4032,8048015
55,0,0,0,0,0,0.0,188,1745,8048015
56,0,0,0,0,0,0.0,194,4097,8048015
57,0,0,0,0,0,0.0,151,1810,8048015
58,0,0,0,0,0,0.0,61,97,8048015
59,0,0,0,0,0,0.0,111,1330,8048015
60,0,0,0,0,0,0.0,226,2231,8048015
61,0,0,0,0,0,0.0,171,3641,8048015
62,0,0,0,0,0,0.0,48,198,8048015
63,0,0,0,0,0,0.0,223,1182,8048015
64,0,0,0,0,0,0.0,77,187,8048015
65,0,0,0,0,0,0.0,64,166,8048015
66,0,0,0,0,0,0.0,73,127,8048015
67,0,0,0,0,0,0.0,80,309,8048015
68,155,11885,681,1,1,0.04536975349766822,1048,38495,8048015
69,0,0,0,0,0,0.0,221,2518,8048015
70,489,4114,4610,2,2,0.17063962096535387,2411,22795,8048015
71,0,0,0,0,0,0.0,575,3728,8048015
72,0,0,0,0,0,0.0,754,3295,8048015
73,94,516,693,1,1,0.03155594007558854,1978,17515,8048015
74,0,0,0,0,0,0.0,67,113,8048015
75,0,0,0,0,0,0.0,215,2192,8048015
76,0,0,0,0,0,0.0,71,126,8048015
77,0,0,0,0,0,0.0,303,2388,8048015
78,0,0,0,0,0,0.0,394,2529,8048015
79,0,0,0,0,0,0.0,28,177,8048015
80,20,122,2097,1,2,0.11770979511647488,142,2838,8048015
81,0,0,0,0,0,0.0,1236,71342,8048015
82,0,0,0,0,0,0.0,57,112,8048015
83,0,0,0,0,0,0.0,96,3415,8048015
84,0,0,0,0,0,0.0,50,104,8048015
85,0,0,0,0,0,0.0,205,4771,8048015
86,0,0,0,0,0,0.0,221,7884,8048015
87,0,0,0,0,0,0.0,229,6408,8048015
88,0,0,0,0,0,0.0,198,2343,8048015
89,0,0,0,0,0,0.0,72,128,8048015
90,0,0,0,0,0,0.0,194,2465,8048015
91,0,0,0,0,0,0.0,69,210,8048015
92,0,0,0,0,0,0.0,507,5414,8048015
93,0,0,0,0,0,0.0,239,2766,8048015
94,0,0,0,0,0,0.0,80,1405,8048015
95,0,0,0,0,0,0.0,335,2779,8048015
96,0,0,0,0,0,0.0,61,99,8048015
97,0,0,0,0,0,0.0,550,3846,8048015
98,0,0,0,0,0,0.0,188,4260,8048015
99,0,0,0,0,0,0.0,79,110,8048015
100,21,30,1974,1,1,0.23854984894259817,113,1062,8048015
101,0,0,0,0,0,0.0,536,2653,8048015
102,0,0,0,0,0,0.0,203,3993,8048015
103,0,0,0,0,0,0.0,66,93,8048015
104,0,0,0,0,0,0.0,64,122,8048015
105,0,0,0,0,0,0.0,71,157,8048015
106,0,0,0,0,0,0.0,200,1311,8048015
107,0,0,0,0,0,0.0,302,3122,8048015
108,3,3,1218,1,1,0.09656703401252675,278,1204,8048015
109,0,0,0,0,0,0.0,164,1542,8048015
110,0,0,0,0,0,0.0,208,2678,8048015
111,0,0,0,0,0,0.0,125,2413,8048015
112,0,0,0,0,0,0.0,362,4579,8048015
113,0,0,0,0,0,0.0,90,198,8048015
114,0,0,0,0,0,0.0,69,237,8048015
115,0,0,0,0,0,0.0,260,3657,8048015
116,0,0,0,0,0,0.0,469,5764,8048015
117,0,0,0,0,0,0.0,54,77,8048015
118,0,0,0,0,0,0.0,1154,13766,8048015
119,0,0,0,0,0,0.0,167,14244,8048015
120,0,0,0,0,0,0.0,2288,43442,8048015
121,0,0,0,0,0,0.0,256,1827,8048015
122,0,0,0,0,0,0.0,60,159,8048015
123,0,0,0,0,0,0.0,68,163,8048015
124,0,0,0,0,0,0.0,274,2029,8048015
125,40,84,486,1,1,0.025601854290681136,1196,7405,8048015
126,0,0,0,0,0,0.0,616,1829,8048015
127,0,0,0,0,0,0.0,1033,21640,8048015
128,1690,5765,11667,4,9,0.16427535517663788,9393,81925,8048015
129,0,0,0,0,0,0.0,581,1764,8048015
130,587,55294,2094,1,2,0.026697946017620135,15024,531557,8048015
131,24,38,1967,1,1,0.1453484075962462,196,820,8048015
132,0,0,0,0,0,0.0,97,638,8048015
133,40,77,2883,2,2,0.15982038915682686,422,1272,8048015
134,0,0,0,0,0,0.0,87,186,8048015
135,0,0,0,0,0,0.0,191,3092,8048015
136,0,0,0,0,0,0.0,19,1857,8048015
137,0,0,0,0,0,0.0,77,187,8048015
138,0,0,0,0,0,0.0,227,3044,8048015
139,0,0,0,0,0,0.0,78,120,8048015
140,0,0,0,0,0,0.0,173,4062,8048015
141,0,0,0,0,0,0.0,623,22098,8048015
142,0,0,0,0,0,0.0,407,2503,8048015
143,0,0,0,0,0,0.0,198,1763,8048015
144,0,0,0,0,0,0.0,201,1925,8048015
145,0,0,0,0,0,0.0,474,2744,8048015
146,0,0,0,0,0,0.0,61,93,8048015
147,0,0,0,0,0,0.0,78,127,8048015
148,0,0,0,0,0,0.0,1171,18336,8048015
149,0,0,0,0,0,0.0,78,145,8048015
150,0,0,0,0,0,0.0,397,2600,8048015
151,0,0,0,0,0,0.0,33,99,8048015
152,0,0,0,0,0,0.0,62,95,8048015
153,0,0,0,0,0,0.0,63,101,8048015
154,0,0,0,0,0,0.0,171,6091,8048015
155,0,0,0,0,0,0.0,407,2844,8048015
156,0,0,0,0,0,0.0,195,1906,8048015
157,0,0,0,0,0,0.0,104,66205,8048015
158,0,0,0,0,0,0.0,446,2878,8048015
159,0,0,0,0,0,0.0,224,2519,8048015
160,0,0,0,0,0,0.0,625,3314,8048015
161,0,0,0,0,0,0.0,85,175,8048015
162,0,0,0,0,0,0.0,250,1856,8048015
163,0,0,0,0,0,0.0,133,1503,8048015
164,0,0,0,0,0,0.0,316,2451,8048015
165,0,0,0,0,0,0.0,350,3227,8048015
166,0,0,0,0,0,0.0,1152,22060,8048015
167,0,0,0,0,0,0.0,149,192,8048015
168,0,0,0,0,0,0.0,428,2387,8048015
169,0,0,0,0,0,0.0,435,3689,8048015
170,0,0,0,0,0,0.0,168,3408,8048015
171,2320,43080,13885,4,16,0.15262938046871566,12299,178737,8048015
172,0,0,0,0,0,0.0,3079,45485,8048015
173,0,0,0,0,0,0.0,1051,7354,8048015
174,0,0,0,0,0,0.0,74,123,8048015
175,0,0,0,0,0,0.0,496,1517,8048015
176,0,0,0,0,0,0.0,1416,11747,8048015
177,20,25,1974,1,1,0.2509534706331045,56,72,8048015
178,0,0,0,0,0,0.0,74,158,8048015
179,0,0,0,0,0,0.0,71,151,8048015
180,0,0,0,0,0,0.0,175,1949,8048015
181,0,0,0,0,0,0.0,84,267,8048015
182,0,0,0,0,0,0.0,2795,13502,8048015
183,4,4,309,1,1,0.03504593399115345,447,2915,8048015
184,343,3559,3249,1,4,0.11621834311060238,2992,21465,8048015
185,0,0,0,0,0,0.0,61,92,8048015
186,0,0,0,0,0,0.0,61,464,8048015
187,4636,87783,22861,1,17,0.158828637926842,21898,330851,8048015
188,0,0,0,0,0,0.0,585,2037,8048015
189,0,0,0,0,0,0.0,26,4381,8048015
190,0,0,0,0,0,0.0,57,104,8048015
191,0,0,0,0,0,0.0,82,666,8048015
192,0,0,0,0,0,0.0,196,588,8048015
193,0,0,0,0,0,0.0,408,2311,8048015
194,0,0,0,0,0,0.0,177,1847,8048015
195,0,0,0,0,0,0.0,307,11663,8048015
196,0,0,0,0,0,0.0,240,3463,8048015
197,0,0,0,0,0,0.0,397,1739,8048015
198,23,70,486,1,1,0.022136187656570258,1263,8584,8048015
199,0,0,0,0,0,0.0,790,6478,8048015
200,0,0,0,0,0,0.0,184,2737,8048015
201,0,0,0,0,0,0.0,76,308,8048015
202,0,0,0,0,0,0.0,167,2382,8048015
203,0,0,0,0,0,0.0,188,2659,8048015
204,0,0,0,0,0,0.0,256,1510,8048015
205,0,0,0,0,0,0.0,74,121,8048015
206,0,0,0,0,0,0.0,440,3525,8048015
207,0,0,0,0,0,0.0,217,1777,8048015
208,0,0,0,0,0,0.0,57,93,8048015
209,0,0,0,0,0,0.0,256,17968,8048015
210,0,0,0,0,0,0.0,223,2900,8048015
211,50,159,1965,1,2,0.14122466580422596,658,4049,8048015
212,1908,59731,11242,4,15,0.09396051685806463,18667,400905,8048015
213,0,0,0,0,0,0.0,211,2455,8048015
