,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
0,0,0,0,0,0,0.0,1583,10517,7501456
1,17,31,1410,1,1,0.141,66,117,7501456
2,32,99,336,1,1,0.012463832628533273,749,2079,7501456
3,0,0,0,0,0,0.0,82,172,7501456
4,0,0,0,0,0,0.0,106,180,7501456
5,0,0,0,0,0,0.0,4878,40864,7501456
6,0,0,0,0,0,0.0,59,168,7501456
7,0,0,0,0,0,0.0,134,1224,7501456
8,0,0,0,0,0,0.0,529,3060,7501456
9,1366,18615,7568,2,3,0.28016140376855586,2573,26162,7501456
10,0,0,0,0,0,0.0,282,2591,7501456
11,314,3395,1962,1,1,0.08172275908030656,3033,42329,7501456
12,58,229,717,1,1,0.04477052763034655,1050,10902,7501456
13,0,0,0,0,0,0.0,1293,9983,7501456
14,0,0,0,0,0,0.0,176,458,7501456
15,0,0,0,0,0,0.0,143,469,7501456
16,0,0,0,0,0,0.0,126,1263,7501456
17,0,0,0,0,0,0.0,38,230,7501456
18,0,0,0,0,0,0.0,36,80,7501456
19,30,74,1068,1,1,0.0485300131776253,1339,4670,7501456
20,36,81,1050,1,2,0.13171098845960863,217,554,7501456
21,0,0,0,0,0,0.0,30,48,7501456
22,0,0,0,0,0,0.0,71,129,7501456
23,0,0,0,0,0,0.0,96,631,7501456
24,0,0,0,0,0,0.0,203,2220,7501456
25,3050,48771,8856,3,10,0.11213817205662623,11054,124428,7501456
26,0,0,0,0,0,0.0,4389,58857,7501456
27,0,0,0,0,0,0.0,3728,50821,7501456
28,0,0,0,0,0,0.0,34,50,7501456
29,0,0,0,0,0,0.0,4,5,7501456
30,0,0,0,0,0,0.0,35,56,7501456
31,0,0,0,0,0,0.0,466,4875,7501456
32,0,0,0,0,0,0.0,162,1745,7501456
33,0,0,0,0,0,0.0,152,9614,7501456
34,0,0,0,0,0,0.0,83,779,7501456
35,0,0,0,0,0,0.0,408,3220,7501456
36,0,0,0,0,0,0.0,235,5205,7501456
37,0,0,0,0,0,0.0,417,4300,7501456
38,0,0,0,0,0,0.0,93,148,7501456
39,0,0,0,0,0,0.0,51,301,7501456
40,0,0,0,0,0,0.0,123,868,7501456
41,0,0,0,0,0,0.0,105,471,7501456
42,0,0,0,0,0,0.0,89,432,7501456
43,0,0,0,0,0,0.0,34,868,7501456
44,0,0,0,0,0,0.0,141,5594,7501456
45,0,0,0,0,0,0.0,712,11325,7501456
46,194,4628,693,1,1,0.012502706213466119,4096,30947,7501456
47,0,0,0,0,0,0.0,91,279,7501456
48,0,0,0,0,0,0.0,137,4779,7501456
49,0,0,0,0,0,0.0,202,4361,7501456
50,116,767,1143,1,1,0.18048318332543817,116,767,7501456
51,0,0,0,0,0,0.0,5472,67745,7501456
52,0,0,0,0,0,0.0,47,70,7501456
