,EVEPos,ID,contig,family,piEVEPos,piEVEreads,piPos,piReads,piTotal,species,piReadsPerPos,piEVEProp,EVEpiCover,piPerTESite,piPerSite,propGenome,enrichGenome
0,1163,gi|765198455|_nucleoprotein_[Carajas_virus]_000002F_1280661_1280035,000002F,Rhabdoviridae,0,0,2637,2637,8048015,Carajas virus,0.0,0.0,0.0,0.008686733956132571,0.004668350691764667,6.746125416667722e-07,0.0
0,69,gi|393707850|_N_gene_product_[Kotonkan_virus]_000002F_1280944_1280876,000002F,Rhabdoviridae,0,0,2637,2637,8048015,Kotonkan virus,0.0,0.0,0.0,0.008686733956132571,0.004668350691764667,4.0024303847813656e-08,0.0
0,642,gi|765198174|_nucleoprotein_[Barur_virus]_000002F_4893213_4892746,000002F,Rhabdoviridae,0,0,2637,2637,8048015,Barur virus,0.0,0.0,0.0,0.008686733956132571,0.004668350691764667,3.724000444970488e-07,0.0
0,1410,gi|700075054|_glycoprotein_[Tench_rhabdovirus_S64]_000003F_3704043_3705362,000003F,Rhabdoviridae,8,11,30022,30022,8048015,Tench rhabdovirus S64,0.007801418439716312,1.3667966573123932e-06,0.005673758865248227,0.008686733956132571,0.004668350691764667,8.17887948194453e-07,1.6711294748011583
0,522,gi|752455745|_glycoprotein_[Xincheng_Mosquito_Virus]_000003F_3722529_3723029,000003F,,11,20,30022,30022,8048015,Xincheng anphevirus,0.038314176245210725,2.4850848314770785e-06,0.0210727969348659,0.008686733956132571,0.004668350691764667,3.027925595443294e-07,8.207218946254383
0,336,gi|752455745|_glycoprotein_[Xincheng_Mosquito_Virus]_000003F_3735314_3735649,000003F,,22,30,30022,30022,8048015,Xincheng anphevirus,0.08928571428571429,3.7276272472156177e-06,0.06547619047619048,0.008686733956132571,0.004668350691764667,1.9490095786761432e-07,19.125751294396373
0,1221,gi|765198174|_nucleoprotein_[Barur_virus]_000004F_280875_281981,000004F,Rhabdoviridae,0,0,52043,52043,8048015,Barur virus,0.0,0.0,0.0,0.008686733956132571,0.004668350691764667,7.082561593939199e-07,0.0
0,1075,gi|765198174|_nucleoprotein_[Barur_virus]_000008F_4732888_4732418,000008F,Rhabdoviridae,0,0,2984,2984,8048015,Barur virus,0.0,0.0,0.0,0.008686733956132571,0.004668350691764667,6.235670527014447e-07,0.0
0,1094,gi|700074725|_N_protein_[Curionopolis_virus]_000008F_4734942_4734559,000008F,Rhabdoviridae,0,0,2984,2984,8048015,Curionopolis virus,0.0,0.0,0.0,0.008686733956132571,0.004668350691764667,6.345882378189586e-07,0.0
0,3017,gi|229904920|_polyprotein_precursor_[Quang_Binh_virus]_000015F_2244020_2243334,000015F,Flaviviridae,368,3245,126482,126482,8048015,Quang Binh virus,1.0755717600265164,0.000403205013907156,0.12197547232350017,0.008686733956132571,0.004668350691764667,1.750048184186287e-06,230.39652139328533
