,EVEPos,ID,contig,family,piEVEPos,piEVEreads,piPos,piReads,piTotal,species,piHit,piReadsPerPos,piEVEProp,EVEpiCover,piPerTESite,piPerSite,propGenome,enrichGenome
0,1162,gi|765198455|_nucleoprotein_[Carajas_virus]_000002F_1280661_1280035,000002F,Rhabdoviridae,0,0,639,2687,7501456,Carajas virus,False,0.0,0.0,0.0,0.007726517088074795,0.004351312380362389,6.740324792921662e-07,0.0
0,68,gi|393707850|_N_gene_product_[Kotonkan_virus]_000002F_1280944_1280876,000002F,Rhabdoviridae,0,0,639,2687,7501456,Kotonkan virus,False,0.0,0.0,0.0,0.007726517088074795,0.004351312380362389,3.944424147320766e-08,0.0
0,641,gi|765198174|_nucleoprotein_[Barur_virus]_000002F_4893213_4892746,000002F,Rhabdoviridae,0,0,639,2687,7501456,Barur virus,False,0.0,0.0,0.0,0.007726517088074795,0.004351312380362389,3.718199821224428e-07,0.0
0,1409,gi|700075054|_glycoprotein_[Tench_rhabdovirus_S64]_000003F_3704043_3705362,000003F,Rhabdoviridae,17,31,3550,27592,7501456,Tench rhabdovirus S64,True,0.0220014194464159,4.132531071301358e-06,0.0120652945351313,0.007726517088074795,0.004351312380362389,8.17307885819847e-07,5.056272113606231
0,521,gi|752455745|_glycoprotein_[Xincheng_Mosquito_Virus]_000003F_3722529_3723029,000003F,,23,32,3550,27592,7501456,Xincheng anphevirus,True,0.061420345489443376,4.265838525214305e-06,0.044145873320537425,0.007726517088074795,0.004351312380362389,3.022124971697234e-07,14.115361095800742
0,335,gi|752455745|_glycoprotein_[Xincheng_Mosquito_Virus]_000003F_3735314_3735649,000003F,,31,98,3550,27592,7501456,Xincheng anphevirus,True,0.29253731343283584,1.306413048346881e-05,0.09253731343283582,0.007726517088074795,0.004351312380362389,1.9432089549300833e-07,67.22967414453305
0,1220,gi|765198174|_nucleoprotein_[Barur_virus]_000004F_280875_281981,000004F,Rhabdoviridae,0,0,6718,48656,7501456,Barur virus,False,0.0,0.0,0.0,0.007726517088074795,0.004351312380362389,7.07676097019314e-07,0.0
0,1074,gi|765198174|_nucleoprotein_[Barur_virus]_000008F_4732888_4732418,000008F,Rhabdoviridae,0,0,662,2687,7501456,Barur virus,False,0.0,0.0,0.0,0.007726517088074795,0.004351312380362389,6.229869903268387e-07,0.0
0,1093,gi|700074725|_N_protein_[Curionopolis_virus]_000008F_4734942_4734559,000008F,Rhabdoviridae,31,215,662,2687,7501456,Curionopolis virus,True,0.19670631290027446,2.8661102591283612e-05,0.028362305580969808,0.007726517088074795,0.004351312380362389,6.340081754443525e-07,45.20620348656564
0,3016,gi|229904920|_polyprotein_precursor_[Quang_Binh_virus]_000015F_2244020_2243334,000015F,Flaviviridae,609,9452,13160,111159,7501456,Quang Binh virus,True,3.1339522546419096,0.0012600220543851754,0.20192307692307693,0.007726517088074795,0.004351312380362389,1.749468121811681e-06,720.2315027497303
0,1535,gi|700075151|_glycoprotein_[Grass_carp_rhabdovirus_V76]_000015F_2248650_2247268,000015F,Rhabdoviridae,146,567,13160,111159,7501456,Grass carp rhabdovirus V76,True,0.36938110749185665,7.558532636864096e-05,0.09511400651465798,0.007726517088074795,0.004351312380362389,8.903957450202024e-07,84.8895862220523
0,3014,gi|229904920|_polyprotein_precursor_[Quang_Binh_virus]_000015F_2254571_2253918,000015F,Flaviviridae,611,8596,13160,111159,7501456,Quang Binh virus,True,2.8520238885202387,0.0011459108738356926,0.20272063702720636,0.007726517088074795,0.004351312380362389,1.748307997062469e-06,655.4399315000948
